locus_tag	ftype	length_bp	gene	EC_number	COG	product
HCGKCINC_00001	CDS	1545	dnaA		COG0593	Chromosomal replication initiator protein DnaA
HCGKCINC_00002	CDS	1104	dnaN		COG0592	Beta sliding clamp
HCGKCINC_00003	CDS	1110	recF		COG1195	DNA replication and repair protein RecF
HCGKCINC_00004	CDS	2421	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
HCGKCINC_00005	CDS	774				hypothetical protein
HCGKCINC_00006	CDS	537	gmhB	3.1.3.82	COG0241	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
HCGKCINC_00007	CDS	1707				hypothetical protein
HCGKCINC_00008	CDS	2058	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
HCGKCINC_00009	CDS	948	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
HCGKCINC_00010	CDS	552	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
HCGKCINC_00011	CDS	888	lpxL_1	2.3.1.241	COG1560	Lipid A biosynthesis lauroyltransferase
HCGKCINC_00012	CDS	267				hypothetical protein
HCGKCINC_00013	CDS	654	yhhQ		COG1738	Queuosine precursor transporter
HCGKCINC_00014	CDS	273				hypothetical protein
HCGKCINC_00015	CDS	318				hypothetical protein
HCGKCINC_00016	CDS	1374	trkA		COG0569	Trk system potassium uptake protein TrkA
HCGKCINC_00017	CDS	1305	rsmB	2.1.1.176	COG0144	Ribosomal RNA small subunit methyltransferase B
HCGKCINC_00018	CDS	945	fmt	2.1.2.9	COG0223	Methionyl-tRNA formyltransferase
HCGKCINC_00019	CDS	507	def_1	3.5.1.88	COG0242	Peptide deformylase
HCGKCINC_00020	CDS	1026				hypothetical protein
HCGKCINC_00021	CDS	1089				hypothetical protein
HCGKCINC_00022	CDS	558	tsaC	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
HCGKCINC_00023	CDS	978	qorA_1	1.6.5.5	COG0604	Quinone oxidoreductase 1
HCGKCINC_00024	CDS	918	hemF	1.3.3.3	COG0408	Oxygen-dependent coproporphyrinogen-III oxidase
HCGKCINC_00025	CDS	825	aroE_1	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
HCGKCINC_00026	CDS	987				hypothetical protein
HCGKCINC_00027	CDS	1287	prsA	5.2.1.8		Foldase protein PrsA
HCGKCINC_00028	CDS	384				hypothetical protein
HCGKCINC_00029	CDS	1554			COG0659	putative sulfate transporter
HCGKCINC_00030	CDS	924				hypothetical protein
