locus_tag	ftype	length_bp	gene	EC_number	COG	product
JPCKEEFE_00001	CDS	447				hypothetical protein
JPCKEEFE_00002	CDS	615	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
JPCKEEFE_00003	CDS	522	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
JPCKEEFE_00004	CDS	741	yebC		COG0217	putative transcriptional regulatory protein YebC
JPCKEEFE_00005	CDS	444	nudB	3.6.1.67	COG0494	Dihydroneopterin triphosphate diphosphatase
JPCKEEFE_00006	CDS	1773	aspS	6.1.1.12	COG0173	Aspartate--tRNA ligase
JPCKEEFE_00007	CDS	567	yecD	3.-.-.-	COG1335	Isochorismatase family protein YecD
JPCKEEFE_00008	CDS	819				hypothetical protein
JPCKEEFE_00009	CDS	396	yecN		COG3788	Inner membrane protein YecN
JPCKEEFE_00010	CDS	744	cmoA	2.1.3.-	COG0500	Carboxy-S-adenosyl-L-methionine synthase
JPCKEEFE_00011	CDS	972	cmoB	2.5.1.-	COG0500	tRNA U34 carboxymethyltransferase
JPCKEEFE_00012	CDS	780	cutC_1		COG3142	Copper homeostasis protein CutC
JPCKEEFE_00013	CDS	561	yecM		COG3102	Protein YecM
JPCKEEFE_00014	CDS	1734	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
JPCKEEFE_00015	CDS	1143	yesR	3.2.1.172	COG4225	Unsaturated rhamnogalacturonyl hydrolase YesR
JPCKEEFE_00016	CDS	1584	yagG_1		COG2211	Putative glycoside/cation symporter YagG
JPCKEEFE_00017	CDS	393	flhE			Flagellar protein FlhE
JPCKEEFE_00018	CDS	2079	flhA		COG1298	Flagellar biosynthesis protein FlhA
JPCKEEFE_00019	CDS	1149	flhB		COG1377	Flagellar biosynthetic protein FlhB
JPCKEEFE_00020	CDS	645	cheZ	3.1.3.-	COG3143	Protein phosphatase CheZ
JPCKEEFE_00021	CDS	390	cheY		COG0784	Chemotaxis protein CheY
JPCKEEFE_00022	CDS	1050	cheB	3.1.1.61	COG2201	Protein-glutamate methylesterase/protein-glutamine glutaminase
JPCKEEFE_00023	CDS	867	cheR	2.1.1.80		Chemotaxis protein methyltransferase
JPCKEEFE_00024	CDS	1242	tap_1		COG0840	Methyl-accepting chemotaxis protein IV
JPCKEEFE_00025	CDS	1017	thlA_1	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
JPCKEEFE_00026	CDS	1392				hypothetical protein
JPCKEEFE_00027	CDS	771	bdhA_1	1.1.1.30		D-beta-hydroxybutyrate dehydrogenase
JPCKEEFE_00028	CDS	1443	selO	2.7.7.-	COG0397	Protein adenylyltransferase SelO
JPCKEEFE_00029	CDS	711	ydiV		COG2200	Anti-FlhC(2)FlhD(4) factor YdiV
JPCKEEFE_00030	CDS	465	mepS_1	3.4.-.-	COG0791	Murein DD-endopeptidase MepS/Murein LD-carboxypeptidase
JPCKEEFE_00031	CDS	756	btuD_1	7.6.2.8	COG4138	Vitamin B12 import ATP-binding protein BtuD
JPCKEEFE_00032	CDS	552	btuE	1.11.1.15	COG0386	Thioredoxin/glutathione peroxidase BtuE
JPCKEEFE_00033	CDS	981	btuC		COG4139	Vitamin B12 import system permease protein BtuC
JPCKEEFE_00034	CDS	300	ihfA		COG0776	Integration host factor subunit alpha
JPCKEEFE_00035	CDS	2388	pheT	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
JPCKEEFE_00036	CDS	984	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
JPCKEEFE_00037	CDS	357	rplT		COG0292	50S ribosomal protein L20
JPCKEEFE_00038	CDS	198	rpmI		COG0291	50S ribosomal protein L35
JPCKEEFE_00039	CDS	342	infC		COG0290	Translation initiation factor IF-3
JPCKEEFE_00040	CDS	867	thrS	6.1.1.3	COG0441	Threonine--tRNA ligase
JPCKEEFE_00041	CDS	705	icd	1.1.1.42	COG0538	Isocitrate dehydrogenase [NADP]
JPCKEEFE_00042	CDS	636	todT			Response regulator protein TodT
JPCKEEFE_00043	CDS	1998			COG1292	Glycine betaine transporter
JPCKEEFE_00044	CDS	348				hypothetical protein
JPCKEEFE_00045	CDS	246				hypothetical protein
JPCKEEFE_00046	CDS	1527				hypothetical protein
JPCKEEFE_00047	CDS	468				hypothetical protein
JPCKEEFE_00048	CDS	1002	cph2			Phytochrome-like protein cph2
JPCKEEFE_00049	CDS	249				hypothetical protein
JPCKEEFE_00050	CDS	1071	dgcP	2.7.7.65	COG2203	Diguanylate cyclase DgcP
JPCKEEFE_00051	CDS	255				hypothetical protein
JPCKEEFE_00052	CDS	306				hypothetical protein
JPCKEEFE_00053	CDS	348				hypothetical protein
JPCKEEFE_00054	CDS	708	pyrG	6.3.4.2		CTP synthase
JPCKEEFE_00055	CDS	1176	nimT		COG2807	2-nitroimidazole transporter
JPCKEEFE_00056	CDS	792	nimR_1			HTH-type transcriptional regulator NimR
JPCKEEFE_00057	CDS	261				hypothetical protein
JPCKEEFE_00058	CDS	783	budA	4.1.1.5		Alpha-acetolactate decarboxylase
JPCKEEFE_00059	CDS	882	benM			HTH-type transcriptional regulator BenM
JPCKEEFE_00060	CDS	201				hypothetical protein
JPCKEEFE_00061	CDS	456				hypothetical protein
JPCKEEFE_00062	CDS	474				hypothetical protein
JPCKEEFE_00063	CDS	723		1.-.-.-		putative oxidoreductase
JPCKEEFE_00064	CDS	900	pgrR_1			HTH-type transcriptional regulator PgrR
JPCKEEFE_00065	CDS	510				hypothetical protein
JPCKEEFE_00066	CDS	585				hypothetical protein
JPCKEEFE_00067	CDS	288				hypothetical protein
JPCKEEFE_00068	CDS	558				hypothetical protein
JPCKEEFE_00069	CDS	324				hypothetical protein
JPCKEEFE_00070	CDS	567				hypothetical protein
JPCKEEFE_00071	CDS	666				hypothetical protein
JPCKEEFE_00072	CDS	162				hypothetical protein
JPCKEEFE_00073	CDS	2292	rhsC_1	3.1.-.-	COG3209	Putative deoxyribonuclease RhsC
JPCKEEFE_00074	CDS	804	otsB	3.1.3.12	COG1877	Trehalose-6-phosphate phosphatase
JPCKEEFE_00075	CDS	987	araH		COG1172	L-arabinose transport system permease protein AraH
JPCKEEFE_00076	CDS	1515	araG	7.5.2.12	COG1129	Arabinose import ATP-binding protein AraG
JPCKEEFE_00077	CDS	990	araF		COG1879	L-arabinose-binding periplasmic protein
JPCKEEFE_00078	CDS	504	ftnA_1	1.16.3.2	COG1528	Bacterial non-heme ferritin
JPCKEEFE_00079	CDS	1344	dcuB		COG2704	Anaerobic C4-dicarboxylate transporter DcuB
JPCKEEFE_00080	CDS	252				hypothetical protein
JPCKEEFE_00081	CDS	639				hypothetical protein
JPCKEEFE_00082	CDS	339				hypothetical protein
JPCKEEFE_00083	CDS	498	ftnA_2	1.16.3.2	COG1528	Bacterial non-heme ferritin
JPCKEEFE_00084	CDS	342				hypothetical protein
JPCKEEFE_00085	CDS	1212	tyrP		COG0814	Tyrosine-specific transport protein
JPCKEEFE_00086	CDS	669				hypothetical protein
JPCKEEFE_00087	CDS	432				hypothetical protein
JPCKEEFE_00088	CDS	1929	gspD		COG1450	Putative secretin GspD
JPCKEEFE_00089	CDS	774	outC		COG3031	Type II secretion system protein C
JPCKEEFE_00090	CDS	1554				hypothetical protein
JPCKEEFE_00091	CDS	627				hypothetical protein
JPCKEEFE_00092	CDS	624	iprA_1			Inhibitor of hydrogen peroxide resistance
JPCKEEFE_00093	CDS	831	amiD	3.5.1.28	COG3023	N-acetylmuramoyl-L-alanine amidase AmiD
JPCKEEFE_00094	CDS	324				hypothetical protein
JPCKEEFE_00095	CDS	519	ybjP			putative lipoprotein YbjP
JPCKEEFE_00096	CDS	729	artP	3.6.3.-	COG4161	Arginine transport ATP-binding protein ArtP
JPCKEEFE_00097	CDS	732	artI		COG0834	Putative ABC transporter arginine-binding protein 2
JPCKEEFE_00098	CDS	717	artQ		COG4215	Arginine ABC transporter permease protein ArtQ
JPCKEEFE_00099	CDS	669	artM		COG4160	Arginine ABC transporter permease protein ArtM
JPCKEEFE_00100	CDS	732	artJ		COG0834	ABC transporter arginine-binding protein 1
JPCKEEFE_00101	CDS	102				hypothetical protein
JPCKEEFE_00102	CDS	1491				hypothetical protein
JPCKEEFE_00103	CDS	729	ubiG	2.1.1.222	COG2227	Ubiquinone biosynthesis O-methyltransferase
JPCKEEFE_00104	CDS	2286	nrdA	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase 1 subunit alpha
JPCKEEFE_00105	CDS	1131	nrdB	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase 1 subunit beta
JPCKEEFE_00106	CDS	255				hypothetical protein
JPCKEEFE_00107	CDS	1059	glpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, periplasmic
JPCKEEFE_00108	CDS	1353	glpT		COG2271	Glycerol-3-phosphate transporter
JPCKEEFE_00109	CDS	1629	glpA	1.1.5.3	COG0578	Anaerobic glycerol-3-phosphate dehydrogenase subunit A
JPCKEEFE_00110	CDS	1218	glpB	1.1.5.3	COG3075	Anaerobic glycerol-3-phosphate dehydrogenase subunit B
JPCKEEFE_00111	CDS	234				hypothetical protein
